"Titolo","Attachments","data","msg","nome","viaggio","route-code","Risposta da Verdenatura","Lingue"
"P. Paolo – G059","","2013-08-12","Trekking costa del granito rosa – partenza del 28.07.2013. devo ringraziare innanzitutto francesca se ho potuto effettuare questa bella esperienza. perchè mi ha proposto una data che pensavo non potesse andar bene. gli hotel sono sempre stati all'altezza delle aspettative. mentre le informazioni sui mezzi per raggiungere il luogo dell’appuntamento sarebbero più utili al momento dell’acconto per poter organizzare per tempo il viaggio, soprattutto quando si ha che fare con aerei e/o treni. anche se quando le ho chieste a francesca, le ho sempre avute. infatti capisco che quando vi appoggiate ad altre agenzie locali, anche voi in qualche caso siete in difficoltà ad ottenere tutte le informazioni sul viaggio. la guida è stata comunque brava, anche se il carattere bretone non è dei più facili e dopo una breve incomprensione iniziale tutto poi è andato per il meglio. in questo viaggio erano molto importanti gli aspetti naturalistici, che sono stati esaustivamente spiegati dalla guida. bellissimi i paesaggi nonostante il classico clima bretone, molto variabile. per i pochi fotografi presenti nel gruppo è stata un po’ dura stare al passo degli altri, ma comunque anche con l’aiuto degli altri partecipanti e della guida non abbiamo mai sbagliato strada. non è stato facile per me vivere per una settimana con un gruppo di 12 francesi e guida bretone , con il mio scarso francese e discreto inglese, ma ne ero consapevole e sono stato contento di aver affrontato questa situazione ed averla comunque superata bene. la ritengo un’esperienza più che utile, soprattutto per noi italiani, spesso un po’ troppo “mammoni” e se ci saranno altre occasioni simili non mi tirerò indietro. per le foto, adesso non posso ancora inviarvele perché non ho ancora avuto tempo di scaricarle. ma se potrò farlo in seguito lo farò volentieri. in particolare spero che sia venuta bene la foto di una foca in mare aperto, scattata durante la gita alle 7 isole. ancora grazie a francesca bigolin ed a tutta verde natura per questa bella esperienza che consiglio anche ad altri. anche se naturalmente bisogna avere un minimo di preparazione fisica, equipaggiamento e capacità ad adattarsi alle situazioni. caratteristiche comunque richieste da qualsiasi viaggio di gruppo di questo tipo ed indicate per lo più nel programma e nel materiale inviato successivamente. cordiali saluti. paolo","P. Paolo","G059 - La costa del granito rosa","G059","",""
"Daniela – G059","","2017-08-06","Bellissima vacanza in perfetto equilibrio tra natura, sport e confort. I luoghi visitati erano veramente affascinanti, abbiamo camminato lungo spiagge sterminate, attraversato foreste, campi, e villaggi di pescatori. Ci siamo sempre mossi lontano dalle strade trafficate affrontando per la maggior parte sentieri o spiagge.  Marciavamo ammirando le strane forme di granito, il mare azzurro, la vegetazione rigogliosa e i fiori coloratissimi., respirando il profumo del mare, dei pini e degli eucaliptus.  Molto interessante la visita all’arcipelago delle 7 isole, riserva naturale con migliaia di uccelli dove abbiamo visto le foche nuotare nel loro habitat naturale.  Ha piovuto poco e solo di notte, la temperatura era perfetta per camminare, la mattina partivamo con 15° che durante la giornata arrivavano a 18°, massimo 20°. Ho viaggiato sola ed ero l’unica Italiana in un gruppo di francesi di cui solo due parlavano un po’ di Inglese, ma questo non ha costituito un problema. Capisco il Francese e l’aver parlato poco e’ andato a beneficio della contemplazione dei meravigliosi posti che attraversavo. Camminare in silenzio e’ un esercizio formidabile per liberare la mente ed assaporare pienamente con tutti i sensi quel che ci circonda. La guida era una ragazza giovane che ha pagato il suo nervosismo ed inesperienza con una sfuriata da parte di due componenti del gruppo il primo giorno. La scena é stata imbarazzante, ma ha dato i suoi risultati. Dopo infatti la ragazza si é mostrata molto più sorridente e disponibile con tutti. Simpatica la formula pic-nic che prevedeva la preparazione collettiva del pranzo, mentre  migliorerei i menu’ delle cene che erano un po' pesanti, senza frutta e verdura fresca. Tutti concordavano che dopo aver camminato tutto il giorno l’ideale sarebbe stato cenare con cibi freschi ed idratanti. Comunque ho chiesto e ottenuto frutta e pomodori freschi.  Bella vacanza, consiglio vivamente questo tour a chiunque abbia voglia di natura e movimento.","Daniela","G059 - La costa del granito rosa","G059","",""
"Yvette – G059","","2018-08-19","Questo viaggio è stato per me una bellissima esperienza: è stato facile da organizzare grazie al supporto delle ragazze di Verde Natura e ha completamente soddisfatto le mie aspettative. Il programma del trekking è stato rispettato e la guida ha adattato l'andatura alle esigenze del gruppo, per me non è stato faticoso e l'ho trovato un ottimo compromesso tra attività fisica e turismo. Sono rimasta incantata dai paesaggi della Bretagna, che cambiano sempre in funzione della luce e delle maree. L'itinerario permette di scoprire sia la Costa del Granito Rosa che ambienti meno turistici, abbiamo effettuato dei brevi spostamenti in taxi per raggiungere i luoghi d'interesse. Il gruppo di 14 persone era composto da persone di età diverse, provenienti da diverse regioni della Francia. Per me è stata l'occasione di praticare la lingua francese e stringere nuove amicizie. Philippe, la nostra guida bretone,  era molto preparato e appassionato del suo lavoro, e ha saputo trasmettere il suo entusiasmo al gruppo. Gli hotel dove abbiamo soggiornato erano sempre puliti e confortevoli. Il pic nic che ci veniva distribuito per il pranzo era semplice ma con prodotti perlopiù locali, la sera abbiamo cenato in ristoranti di medio/buon livello - abbiamo avuto la possibilità di assaggiare le specialità bretoni (crêpes et cidre, fruits de mer, charcuterie).  Tra i momenti più belli ricorderò i bagni nell'oceano e le foche sull'arcipelago delle Sept-Iles.","Yvette","G059 - La costa del granito rosa","G059","",""
"barbara mosconi – G060","https://www.verde-natura.it/wpsite/wp-content/uploads/bretagna-1.jpg","2017-08-20","La Bretagna è un posto molto bello e pittoresco, meta ideale di un viaggio alternativo, soprattutto se, come nel nostro caso, il tempo si rivela più che clemente. 
 Il tipo di itinerario previsto prevede sentieri alla portata di tutti e quindi consigliato a chi voglia godere paesaggi marini, scorci incantevoli e vegetazione particolare. 
 La guida “pare"" molto preparata, anche perché non parlando lui altra lingua che il francese e non avendo io nessuna cognizione del francese, ben poco ho recepito e appreso dalle sue pur lunghe digressioni in tema di ambiente e di storia dei luoghi (nemmeno le indicazioni basilari, tipo orari di incontro/raduno/cena/appuntamenti vari venivano a ogni modo tradotti in inglese o altra lingua). 
 L’hotel gode di una posizione privilegiata di fronte al mare, le camere sono un po’ umide (probabilmente per la posizione) e l’accoglienza è gentile (ma non troppo espansiva né generosa). Il gruppo di francesi/italiani/americani, invece, molto affabile e premuroso. 
 In quanto alle cure termali, niente di esaltante (anche il personale del centro talasso terapia a stento parlava inglese).","barbara mosconi","G060 - Trekking e benessere in Bretagna","G060","",""
"Silvia – G060","","2017-08-20","Il trekking in Bretagna è un'esperienza molto bella: i luoghi sono meravigliosi, la natura, i paesaggi, i sentieri e l'itinerario è tutto interessante e facile e quindi la vacanza permette di rilassarsi e godere a pieno del proprio tempo. La guida, sebbene avessi chiesto più volte se potesse parlare inglese, ha parlato esclusivamente francese, dando anche lettura di testi lunghi e complessi durante la giornata, di cui ovviamente non ho capito nulla (anche se volenterose compagne di viaggio francesi mi hanno riassunto e tradotto qualcosa). Sentirsi esclusa per la lingua, anche se  non è un dramma, non è neanche il massimo, in termine di accoglienza e comunicazione. Anche per gli appuntamenti e le informazioni di base la guida usava solo il francese. Non era molto pratico, ma alla fine si riusciva a far tutto.
 L'hotel ha una buona posizione ed è carino, ma aveva una certa parsimonia nel fornire carta igienica (chiesta più volte), sapone e simili, tutto sembrava razionato. Niente di che, ma nn gradevole.  La vera delusione sono stati i trattamenti termali: il pacchetto con prenotazione dall'Italia viene deciso da loro senza possibilità di modificare nulla (ho chiesto), e i trattamenti sono brevi e poco incisivi (un quarto d'ora in una vasca idromassaggio non mi cambia la vita, anche se c'è acqua di mare o alga); il cataplasma alle alghe calde poi è stato tremendo, anche perché nessuno ti spiega cosa sia, il personale non ti chiede (in che lingua poi? parlano solo francese) se e quali problemi hai, se hai dolori o simili, se qualcosa ti dà fastidio. Ti piazzano lì e basta. Non è un lavoro ben fatto e non ti dà alcun piacere aggiuntivo. Sconsiglio i trattamenti prenotati in anticipo, meglio andare lì e decidere di farne magari uno solo ma che sia di massimo gradimento.","Silvia","G060 - Trekking e benessere in Bretagna","G060","",""
"Milvia Spadi – G092","","2018-12-27","Un giro turistico davvero bello ed emozionante, grazie alle bellezze naturali e d'arte in Sicilia, ma anche grazie ad un giro ben organizzato che ci ha permesso di fruire di tutto con facilità. Trovo la formula complessiva: albergo, affito bici, tour, guida, trasporti, molto valida. Da ripetersi","Milvia Spadi","G092 - Sicilia d'inverno: in bici tra le città barocche","G092","",""
"PIPPO–1734","","2016-03-10","PROVA","PIPPO","G097 - Arte e gastronomia in Emilia Romagna: in bici tra Parma, Modena e Bologna","G097","",""
"marco e giusy – G110","","2018-08-05","giro in bici molto facile, in splendidi paesaggi e ottime piste ciclabili; fantastici i castelli; buona l'organizzazione. Insomma ottima vacanza in bici, grazie anche alla nostra bravissima e simpaticissima guida: Alex.","marco e giusy","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Zeno G. – G110","","2012-07-18","La mia esperienza in questo tour tra i castelli della loira è stata positiva, mi sono trovato bene con lo staff organizzativo e mi è piaciuto molto il luogo esplorato in bicicletta....sia tra il verde della natura sia nelle città e nei castelli che abbiamo visitato. ringrazio moltissimo le guide di viaggio sabrina e luigi che hanno reso ancora più piacevole la vacanza. sono stato molto soddisfatto di questo tour in bici in quanto la bicicletta è sempre stata la mia passione..e se in futuro avrò tempo e la possibilità sarò sicuramente pronto a riprovare queste avventure in bicicletta andando a scoprire altri paesi.","Zeno G.","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Erica e Felice – G110","https://www.verde-natura.it/wpsite/wp-content/uploads/G110-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G110-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G110-commento-01-a.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G110-commento-01-.jpg","2013-09-03","Buongiorno, siamo rientrati da poco dal tour castelli della loira, è stata un'esperienza fantastica, da consigliare e da ripetere. l'organizzazione è stata ottima, la giuda alfredo e lo staff preparati, disponibili e simpatici. i luoghi affascinanti e con nostra fortuna il sole è stato sempre presente. il gruppo si è affiatato da subito e sono stati degli ottimi compagni di avventura! saluti e grazie a tutti. .... buon viaggio a vèlo!!! 
 erica e felice","Erica e Felice","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Andrea & Daniela – G110","","2012-08-28","Buongiorno a tutti, vi scriviamo a una settimana abbondante dal nostro ritorno nel caldo di milano per condividere le sensazioni e le emozioni che sono rimaste in noi al termine di queste fantastica esperienza . sono stati 6 giorni bellissimi, in un posto bellissimo con persone bellissime , il gruppo , le guide , gli aiuti . siamo stati a nostro agio sempre, non abbiamo mai avuto momenti, se non voluti, in cui non sapevamo con chi o di cosa parlare , c'era sempre qualcuno con cui scambiare 2 chiacchiere ma se volevi, un momento per te riuscivi sempre a prendertelo . i percorsi ci sono rimasti nel cuore, così come i paesaggi, le strade,i paesi, i castelli e la loira, naturalmente . il giro è stato bellissimo, per noi, non troppo faticoso per permetterci di vistare anche altro, oltre ai castelli, qualche paese, museo ,etc . che dire delle guide, i nostri angeli custodi , sabrina ,sempre carina e gentile, alfredo , che con la sua presenza dava sempre sicurezza, luigi , che anche se seguiva il gruppo famiglie ha interagito con noi come un vero ""leader"" vi ringraziamo tutti di cuore per aver condiviso con noi questa bellissima esperienza , per averla resa unica e speciale ,come non lo sarebbe stata senza questo gruppo e questo team di supporto . ci auguriamo di rivedervi prestissimo , magari in un altro paese o su altre strade , stiamo già facendo programmi per l'austria , chissà .... grazie a tutti andrea & daniela","Andrea & Daniela","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Anna  , Luciano ed Andrea – G110","","2019-08-11","È  stata un esperienza al di sopra delle nostre aspettative.  
 La guida Luigi molto professionale e simpatico.
 Impeccabile servizio di trasporto bagagli con massima disponibilità nel risolvere qualsiasi esigenza.
 Felici di aver condiviso la  nostra esperienza con Isabel persona veramente super in ogni senso.
 Personale di Verde Natura disponibile a qualsiasi richiesta.
 Sicuramente viaggio da consigliare e da ripetere.
 Grazie a tutti per aver reso questa vacanza indimenticabile.
 Anna","Anna  , Luciano ed Andrea","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Dario – G110","","2016-09-08","Molto bella sia dal punto di vista paesaggistico e storico nonchè per l'ottima organizzazione e per la simpatia dei partecipanti.","Dario","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Antonella C. – G110","","2012-08-07","Ciao, ci tengo a farvi sapere che mi sono trovata benissimo, soprattutto grazie alle nostre splendide guide, sabrina e luigi. sono partita per provare un modo nuovo di visitare un paese e ho scoperto la mia vacanza ideale. bei posti da attraversare lentamente, giornate all'aria aperta, un pò di attività fisica, buona compagnia, il paradiso insomma.
 antonella","Antonella C.","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Nicola – G110","","2017-08-06","Sono rientrato da circa una settimana dal tour dei castelli della Loira. E' stata un'esperienza molto bella, da consigliare e magari nel futuro da ripetere con qualche altro giro. 
 Impeccabile l'organizzazione, molto carini e sempre puliti gli alberghi, colazioni sostanziose e con molta scelta tra dolce e salato, stesso giudizio per le cene. I tragitti in bicicletta molto belli e paesaggistici, luoghi e castelli affascinanti.
 Durante la settimana il tempo è stato vario (un po' di pioggia e un po' di sole) ma comunque tutti i percorsi effettuati in bicicletta sono stati piacevoli e divertenti.
 Ottimo giudizio anche per la guida che ci ha accompagnato durante questa settimana di vacanza, Alfredo, presenza discreta ma sempre disponibile, preparato e simpatico.
 Infine il gruppo si è affiatato sin dal primo giorno, sempre tutti puntuali con gli orari di ritrovo e mai discussioni durante la settimana trascorsa insieme, insomma tutto è andato per il meglio!!!!!
 Sicuramente consiglierò ad amici e conoscenti ""i ragazzi di Verde Natura""!!!!
 Grazie mille per tutto e al prossimo giro in bicicletta!! 
 Nicola","Nicola","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Alessio e Raffaella – G110","","2013-08-26","Buongiorno erika,
 scriviamo questa mail per ringraziarvi della splendida vacanza che abbiamo fatto!
 siamo stati a visitare i castelli della loira la scorsa settimana.....tutto perfetto!
 bellissimo tour,  ottima organizzazione...bravissimo e molto gentile filippo e perfetto alfredo, che ci ha anche prenotato il sole per tutto il viaggio!!!
 a parte gli scherzi è molto simpatico, alla mano, ma anche professionale e preparato...ci teneva sempre d'occhio senza farci sentire in difficoltà e ci spiegava le strade da percorrere ogni volta che era necessario.
 era la prima volta che facevamo una vacanza di questo tipo e tanti anni che non andavamo più in bicicletta, così abbiamo avuto l'opportunità di riscoprire un modo alternativo e piacevole di viaggiare che riadotteremo sicuramente!
 a questo proposito volevamo anche domandare se ci fosse la possibilità di comprare delle vostre biciclette usate.
  
 alla prossima vacanza!","Alessio e Raffaella","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Enrico – G110","","2012-08-20","Buon giorno, siamo rientrati sabato sera dal viaggio in francia ai castelli della loira e devo dire che sono molto contento!! la disponibilità di voi ragazze durante la prenotazione, abbiamo cambiato tre volte la sistemazione, la preparazione la simpatia della nostra guida alfredo, la bellezza dell'itinerario da voi proposto sono state tutte cose che hanno reso la vacanza spensierata e piacevole! le biciclette sono state all'altezza( belle e non troppo scomode ), gli alberghi assolutamente dignitosi con delle colazioni abbondanti e cene piacevoli. un particolare grazie anche a luigi e sabrina sempre carini e disponibili. era proprio quello che mi aspettavo , peccato sia finito troppo in fretta. ci rivedremo sicuramente, vacanza da consigliare ( e anche vero che eravamo in otto tutti simpatici e divertenti e questa e solo fortuna !) ! grazie a presto.","Enrico","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Francesca e Giuseppe – G110","","2012-08-28","Carissimi posso proprio dire che siamo davvero in sintonia. proprio ieri ho pensato che oggi un saluto sarebbe stato d'obbligo!!! presi, però, dal tuffo traumatico nel lavoro... è trascorsa già una mezza giornata in un soffio! intanto, davvero un gran piacere sentirvi e sentire delle vostre positive impressioni in quanto all'esperienza vissuta nella loira, io ancora oggi - chiudendo gli occhi - riesco ad immergermi nel contesto e sentirne il sapore. un sapore gradevole che include luoghi, persone e atmosfera. personalmente, poi, ho del viaggio un'idea molto particolare. riesco a cogliere quanto più possibile intensificando sempre e comunque i momenti piacevoli... aggiungerei un grazie alla compagnia davvero piacevole. andiamo a noi :-) come sapevate, siamo ritornati a blois ad ammirare il bellissimo castello, viuzze e angoli stupendi.... da lì ad orleans che abbiamo trovato un pò triste alla sera (un vero e proprio coprifuoco) tuttavia affascinante nella sua storia.... appena rientrati a roma siamo andati alla ricerca di ingredienti e ricette per produrre le squisite galettes bretoni (che abbiamo ri-assaggiato ad orleans). il risultato - considerandola come prima esperienza - è stato ottimo :-) e potete ammirarne una foto sulla bacheca di verde natura!!! in questi giorni sto organizzando le foto che a breve troverete complete, ma nel frattempo vi invio una foto in cui c'è il grande alfredo nel suo ""affezionato"" pulmino e un'altra di gruppo in ""pausa foto"" (anche in questo caso manca il fotografo). un abbraccio fortissimo a tutti e grazie per averci fatto rivivere con la vostra foto quel bellissimo momento (magico) alla guinguette sur la loire!!! francesca e giuseppe","Francesca e Giuseppe","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Patrizia S. – G110","","2013-09-03","Bellissima esperienza! ci alleniamo già per la parigi-londra della prossima estate :-) la nostra guida-zen alfredo: poche parole e sensori permanentemente vigili. e che dire del gruppo? una selezione studiata non avrebbe ottenuto lo stesso mix di simpatia e piacevolezza, speriamo di reincontrali tutti! vacanza indimenticabile. unica nota ""ni"": la sistemazione alberghiera, non sempre al top .. ma nel contesto generale assolutamente fruibile. a presto e grazie a tutti! patrizia e leonardo","Patrizia S.","G110 - Tour in bici di gruppo tra i Castelli della Loira","G110","",""
"Tatiana – G111","https://www.verde-natura.it/wpsite/wp-content/uploads/G111-commento02-a.jpg","2016-09-19","esperienza positiva sotto tutti i punti di vista. ottimo il soggiorno in barca,direi tra i migliori fatti in vari paesi europei. non impegnativo il percorso e quindi alla portata di tutti. buone le biciclette. vi mando questa foto che mi è molto cara e che ho postato su facebook con molto successo. ne rivendico il copyright. vi chiedo di informarmi delle vs iniziative in bicicletta anche quelle di un solo giorno.","Tatiana","G111 - Parigi e l'ile de France in bici e barca","G111","",""
"Barbara e Gabriele – G111","https://www.verde-natura.it/wpsite/wp-content/uploads/G111-commento01-f.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G111-commento01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G111-commento01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G111-commento01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G111-commento01-a.jpg","2016-09-25","per noi è stata la prima volta di un viaggio di questo tipo e ci é piaciuto nel suo complesso. buona l'accoglienza e la cucina sulla claire de lune (grazie a kim!), essenziali, ma sufficienti gli spazi, ottime le bici e la loro manutenzione affidata a peter che era anche la nostra guida e che, però, in questo ruolo lasciava un po' a desiderare (più volte ci ha condotto fuori percorso per errore, con conseguente percorso allungato).abbiamo preferito, dal punto di vista paesaggistico, il tratto da parigi a moret sur loing. quello più a nord é meno bello, meno curato e passa spesso attraverso zone industriali puzzolenti e sporche. secondo noi il massimo si otterrebbe puntando un po' di più sugli aspetti artistico-culturali che il percorso può offrire: perché non entrare ad evry e dare un'occhiata alla chiesa costruita dall'architetto mario botta, per esempio? bello visitare parigi in sella alle bici! ma anche qui, perché salire in barca già alle 16 e non prevedere invece, un tour un po' più lungo dandoci la possibilità di scoprire altri angoli della città in quel modo privilegiato? la guida sembrava un po' affannata e preoccupata del traffico parigino! comunque, tirando le somme, una buona esperienza!","Barbara e Gabriele","G111 - Parigi e l'ile de France in bici e barca","G111","",""
"laura – G112","","2017-08-12","bellissima esperienza, posti incantevoli, ottima guida, cordiale, affabile,  in barca, ottima chef in cucina..direi vacanza indimenticabile...da ripetere!","laura","G112 - Bici e barca in Borgogna lungo la Loira","G112","",""
